security_name,security_name_full,security_name_tiny,security_code,security_class,security_class_code,security_nominal
"NNSBP [TQBR]","ТНС энерго Нижний Новг.ПАО ап","ТНСэнНН ап",NNSBP,"МБ ФР: Т+ Акции и ДР",TQBR,12
"RTSB [TQBR]","ТНС энерго Ростов. ПАО ао",ТНСэнРст,RTSB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"RTSBP [TQBR]","ТНС энерго Ростов. ПАО ап",ТНСэнРст-п,RTSBP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"YRSB [TQBR]","ТНС энерго Ярославль ПАО ао",ТНСэнЯр,YRSB,"МБ ФР: Т+ Акции и ДР",TQBR,1
"YRSBP [TQBR]","ТНС энерго Ярославль ПАО ап",ТНСэнЯр-п,YRSBP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"TNSE [TQBR]","ПАО ГК "ТНС энерго" ао","ТНСэнрг ао",TNSE,"МБ ФР: Т+ Акции и ДР",TQBR,1
"TORS [TQBR]","ао "Томская распределит.комп."","ТРК ао",TORS,"МБ ФР: Т+ Акции и ДР",TQBR,0
"TORSP [TQBR]","ап "Томская распределит.комп."","ТРК ап",TORSP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"TASB [TQBR]","ао"Тамбов.энергсбыт.комп."ПАО",ТамбЭнСб,TASB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"TASBP [TQBR]","ап"Тамбов.энергсбыт.комп."ПАО",ТамбЭнСб-п,TASBP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"TATN [TQBR]","ПАО "Татнефть" ао","Татнфт 3ао",TATN,"МБ ФР: Т+ Акции и ДР",TQBR,1
"TATNP [TQBR]","ПАО "Татнефть" ап 3 вып.","Татнфт 3ап",TATNP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"TTLK [TQBR]",""Таттелеком" ПАО ао","Таттел. ао",TTLK,"МБ ФР: Т+ Акции и ДР",TQBR,0
"CNTL [TQBR]",""Центральный Телеграф" ПАО ао",Телеграф,CNTL,"МБ ФР: Т+ Акции и ДР",TQBR,1
"CNTLP [TQBR]",""Центральный Телеграф" ПАО ап",Телеграф-п,CNTLP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"TRCN [TQBR]","ТрансКонтейнер ПАО ао","ТрансК ао",TRCN,"МБ ФР: Т+ Акции и ДР",TQBR,1000
"TRFM [TQBR]","ПАО ТрансФин-М ао","ТрансФ ао",TRFM,"МБ ФР: Т+ Акции и ДР",TQBR,0
"TRNFP [TQBR]","Транснефть ПАО акц.пр.","Транснф ап",TRNFP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"URKZ [TQBR]","ПАО "Уральская кузница" ао",УрКузница,URKZ,"МБ ФР: Т+ Акции и ДР",TQBR,1
"USBN [TQBR]","БАНК УРАЛСИБ ПАО ао","УралСиб ао",USBN,"МБ ФР: Т+ Акции и ДР",TQBR,0
"URKA [TQBR]","Уралкалий ПАО ао",Уркалий-ао,URKA,"МБ ФР: Т+ Акции и ДР",TQBR,1
"FEES [TQBR]",""ФСК ЕЭС" ПАО ао","ФСК ЕЭС ао",FEES,"МБ ФР: Т+ Акции и ДР",TQBR,1
"NPOF [TQBR]","ОАО "НПО Физика" ао","Физика ао",NPOF,"МБ ФР: Т+ Акции и ДР",TQBR,120
"PHOR [TQBR]","ФосАгро ПАО ао","ФосАгро ао",PHOR,"МБ ФР: Т+ Акции и ДР",TQBR,3
"HIMC [TQBR]","Химпром ПАО ао","Химпром ао",HIMC,"МБ ФР: Т+ Акции и ДР",TQBR,1
"HIMCP [TQBR]","Химпром ПАО ап","Химпром ап",HIMCP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"WTCM [TQBR]",""Центр междун. торговли"ПАО ао","ЦМТ ао",WTCM,"МБ ФР: Т+ Акции и ДР",TQBR,1
"WTCMP [TQBR]",""Центр междун. торговли"ПАО ап","ЦМТ ап",WTCMP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"PRFN [TQBR]","ЧЗПСН-Профнастил (ПАО) ао","ЧЗПСН ао",PRFN,"МБ ФР: Т+ Акции и ДР",TQBR,0
"CHKZ [TQBR]",""ЧКПЗ" ПАО ао","ЧКПЗ ао",CHKZ,"МБ ФР: Т+ Акции и ДР",TQBR,200
"CHMK [TQBR]",""ЧМК" ПАО ао","ЧМК ао",CHMK,"МБ ФР: Т+ Акции и ДР",TQBR,1
"CHEP [TQBR]",""ЧТПЗ" ПАО ао","ЧТПЗ ао",CHEP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"GCHE [TQBR]","Группа Черкизово ПАО-ао",ЧеркизГ-ао,GCHE,"МБ ФР: Т+ Акции и ДР",TQBR,0
"ELTZ [TQBR]","Электроцинк ПАО ао",Электрцинк,ELTZ,"МБ ФР: Т+ Акции и ДР",TQBR,1
"ENRU [TQBR]",""Энел Россия" ПАО","ЭнелРос ао",ENRU,"МБ ФР: Т+ Акции и ДР",TQBR,1
"RKKE [TQBR]","РКК Энергия им.С.П.Королева ао",ЭнергияРКК,RKKE,"МБ ФР: Т+ Акции и ДР",TQBR,1000
"UTAR [TQBR]","Авиакомания "ЮТэйр" (ПАО) ао","ЮТэйр ао",UTAR,"МБ ФР: Т+ Акции и ДР",TQBR,1
"UNKL [TQBR]","Южно-Уральский никел. комб. ао","ЮУНК ао",UNKL,"МБ ФР: Т+ Акции и ДР",TQBR,1
"UKUZ [TQBR]","Южный Кузбасс ПАО ао","ЮжКузб. ао",UKUZ,"МБ ФР: Т+ Акции и ДР",TQBR,0
"UPRO [TQBR]","Юнипро ПАО ао","Юнипро ао",UPRO,"МБ ФР: Т+ Акции и ДР",TQBR,0
"YAKG [TQBR]","Якутская топл.-энерг. комп. ао","ЯТЭК ао",YAKG,"МБ ФР: Т+ Акции и ДР",TQBR,1
"YKENP [TQBR]","АК "Якутскэнерго" (ПАО) ап",Якутскэн-п,YKENP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"YKEN [TQBR]","АК "Якутскэнерго" (ПАО) ао",Якутскэнрг,YKEN,"МБ ФР: Т+ Акции и ДР",TQBR,1
