security_name,security_name_full,security_name_tiny,security_code,security_class,security_class_code,security_nominal
"LSRG [TQBR]","Группа ЛСР ПАО ао","ЛСР ао",LSRG,"МБ ФР: Т+ Акции и ДР",TQBR,0
"LKOH [TQBR]","НК ЛУКОЙЛ (ПАО) - ао",ЛУКОЙЛ,LKOH,"МБ ФР: Т+ Акции и ДР",TQBR,0
"LPSB [TQBR]","Липецкая энергосбыт.ком.ОАО ао","ЛЭСК ао",LPSB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"LNZLP [TQBR]",""Лензолото" ПАО ап","Лензол. ап",LNZLP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"LNZL [TQBR]",""Лензолото" ПАО ао",Лензолото,LNZL,"МБ ФР: Т+ Акции и ДР",TQBR,1
"LNTA [TQBR]","Лента Лтд.  др","Лента др",LNTA,"МБ ФР: Т+ Акции и ДР",TQBR,NULL
"LSNGP [TQBR]",Ленэнерго(ПАО)-ап,Ленэнерг-п,LSNGP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"LSNG [TQBR]",Ленэнерго(ПАО)-ао,Ленэнерго,LSNG,"МБ ФР: Т+ Акции и ДР",TQBR,1
"MVID [TQBR]",""М.видео" ПАО ао",М.видео,MVID,"МБ ФР: Т+ Акции и ДР",TQBR,10
"MGTSP [TQBR]","ПАО "МГТС" ап (4 в)",МГТС-4ап,MGTSP,"МБ ФР: Т+ Акции и ДР",TQBR,40
"MGTS [TQBR]","ПАО "МГТС" ао (5 в)",МГТС-5ао,MGTS,"МБ ФР: Т+ Акции и ДР",TQBR,40
"MERF [TQBR]","МЕРИДИАН ПАО ао",МЕРИДИАН,MERF,"МБ ФР: Т+ Акции и ДР",TQBR,0
"CBOM [TQBR]",""МКБ" ПАО ао","МКБ ао",CBOM,"МБ ФР: Т+ Акции и ДР",TQBR,1
"MAGN [TQBR]",""Магнитогорск.мет.комб" ПАО ао",ММК,MAGN,"МБ ФР: Т+ Акции и ДР",TQBR,1
"GEMA [TQBR]","ПАО ММЦБ ао","ММЦБ ао",GEMA,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MSRS [TQBR]","ПАО "МОЭСК" ао",МОЭСК,MSRS,"МБ ФР: Т+ Акции и ДР",TQBR,1
"MRKZ [TQBR]","МРСК Северо-Запада ао","МРСК СЗ",MRKZ,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MRKK [TQBR]","МРСК Сев. Кавказа ао","МРСК СК",MRKK,"МБ ФР: Т+ Акции и ДР",TQBR,1
"MRKU [TQBR]","МРСК Урала (ОАО) ао","МРСК Ур",MRKU,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MRKP [TQBR]","МРСК Центр. и Приволж. ао","МРСК ЦП",MRKP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MRKC [TQBR]",""МРСК Центра" ПАО ао","МРСК Центр",MRKC,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MRKV [TQBR]","МРСК Волги ао",МРСКВол,MRKV,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MRKS [TQBR]","МРСК Сибири ао",МРСКСиб,MRKS,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MRKY [TQBR]","МРСК Юга ао","МРСКЮга ао",MRKY,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MTSS [TQBR]","Мобильные ТелеСистемы ПАО ао",МТС-ао,MTSS,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MAGE [TQBR]",""Магаданэнерго" ПАО ао","МагадЭн ао",MAGE,"МБ ФР: Т+ Акции и ДР",TQBR,1
"MAGEP [TQBR]",""Магаданэнерго" ПАО ап","МагадЭн ап",MAGEP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"MGNT [TQBR]",""Магнит" ПАО ао","Магнит ао",MGNT,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MFON [TQBR]","МегаФон ПАО ао","МегаФон ао",MFON,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MFGS [TQBR]","ао "Славнефть-Мегионнефтегаз"",Мегион-ао,MFGS,"МБ ФР: Т+ Акции и ДР",TQBR,25
"MFGSP [TQBR]","ап Мегионнефтегаз",Мегион-ап,MFGSP,"МБ ФР: Т+ Акции и ДР",TQBR,25
"MTLR [TQBR]","Мечел ПАО ао","Мечел ао",MTLR,"МБ ФР: Т+ Акции и ДР",TQBR,10
"MTLRP [TQBR]","Мечел ПАО ап","Мечел ап",MTLRP,"МБ ФР: Т+ Акции и ДР",TQBR,10
"MRSB [TQBR]","Мордовск.энергсбыт.комп.ПАО ао",МордЭнСб,MRSB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"MORI [TQBR]","Морион ПАО ао","Морион ао",MORI,"МБ ФР: Т+ Акции и ДР",TQBR,1
"MOEX [TQBR]","ПАО Московская Биржа",МосБиржа,MOEX,"МБ ФР: Т+ Акции и ДР",TQBR,1
"MOBB [TQBR]","Московский областной банк ПАО",МосОблБанк,MOBB,"МБ ФР: Т+ Акции и ДР",TQBR,1
"MSTT [TQBR]","ПАО "МОСТОТРЕСТ" ао",Мостотрест,MSTT,"МБ ФР: Т+ Акции и ДР",TQBR,0
"NKNC [TQBR]",""Нижнекамскнефтехим" ПАО ао","НКНХ ао",NKNC,"МБ ФР: Т+ Акции и ДР",TQBR,1
"NKNCP [TQBR]",""Нижнекамскнефтехим" ПАО ап","НКНХ ап",NKNCP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"NKHP [TQBR]","НКХП ПАО ао","НКХП ао",NKHP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"NLMK [TQBR]","ПАО "НЛМК" ао","НЛМК ао",NLMK,"МБ ФР: Т+ Акции и ДР",TQBR,1
"NMTP [TQBR]","НМТП (ПАО) ао","НМТП ао",NMTP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"NSVZ [TQBR]","Наука-Связь ПАО ао",НаукаСвяз,NSVZ,"МБ ФР: Т+ Акции и ДР",TQBR,1
"NFAZ [TQBR]","Нефтекамский автозавод ПАО ао",Нефтекамск,NFAZ,"МБ ФР: Т+ Акции и ДР",TQBR,1
"NKSH [TQBR]","Нижнекамскшина ПАО ао",Нижкамшина,NKSH,"МБ ФР: Т+ Акции и ДР",TQBR,1
"NVTK [TQBR]","ПАО "НОВАТЭК" ао","Новатэк ао",NVTK,"МБ ФР: Т+ Акции и ДР",TQBR,0
"UWGN [TQBR]","ПАО НПК ОВК ао","ОВК ао",UWGN,"МБ ФР: Т+ Акции и ДР",TQBR,1
"OGKB [TQBR]","ОГК-2 ПАО ао","ОГК-2 ао",OGKB,"МБ ФР: Т+ Акции и ДР",TQBR,0
"UCSS [TQBR]","ПАО ОКС ао","ОКС ао",UCSS,"МБ ФР: Т+ Акции и ДР",TQBR,1000
"OMZZP [TQBR]","ап"Объединён.  маш. заводы"",ОМЗ-ап,OMZZP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"OBUV [TQBR]","ПАО "ОР" ао","ОР ао",OBUV,"МБ ФР: Т+ Акции и ДР",TQBR,100
"KZOS [TQBR]","ПАО "Органический синтез" ао","ОргСинт ао",KZOS,"МБ ФР: Т+ Акции и ДР",TQBR,1
"KZOSP [TQBR]","ПАО "Органический синтез" ап","ОргСинт ап",KZOSP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"PIKK [TQBR]","Группа компания ПИК ПАО ао","ПИК ао",PIKK,"МБ ФР: Т+ Акции и ДР",TQBR,63
"PRTK [TQBR]","ПРОТЕК (ПАО) ао","ПРОТЕК ао",PRTK,"МБ ФР: Т+ Акции и ДР",TQBR,0
"PAZA [TQBR]","Павловский автобус ПАО ао","ПавлАвт ао",PAZA,"МБ ФР: Т+ Акции и ДР",TQBR,415
"PMSBP [TQBR]",""Пермэнергосбыт" ПАО ап",ПермьЭнС-п,PMSBP,"МБ ФР: Т+ Акции и ДР",TQBR,3
"PMSB [TQBR]",""Пермэнергосбыт" ПАО ао",ПермьЭнСб,PMSB,"МБ ФР: Т+ Акции и ДР",TQBR,3
"PLZL [TQBR]","Полюс ПАО ао",Полюс,PLZL,"МБ ФР: Т+ Акции и ДР",TQBR,1
"PRMB [TQBR]","АКБ "Приморье" ао",Приморье,PRMB,"МБ ФР: Т+ Акции и ДР",TQBR,1000
"RBCM [TQBR]","РБК ПАО ао","РБК ао",RBCM,"МБ ФР: Т+ Акции и ДР",TQBR,0
"RGSS [TQBR]","Росгосстрах СК ПАО ао","РГС СК ао",RGSS,"МБ ФР: Т+ Акции и ДР",TQBR,0
"RDRB [TQBR]","РоссийскийДорож Банк ПАО ао","РДБанк ао",RDRB,"МБ ФР: Т+ Акции и ДР",TQBR,124
"CHGZ [TQBR]","РН-Западная Сибирь ПАО ао",РН-ЗапСиб,CHGZ,"МБ ФР: Т+ Акции и ДР",TQBR,0
"ROST [TQBR]","РОСИНТЕР РЕСТОРАНТС (ПАО)",РОСИНТЕРао,ROST,"МБ ФР: Т+ Акции и ДР",TQBR,170
"RASP [TQBR]","ПАО Распадская ао",Распадская,RASP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"RLMN [TQBR]","Группа Компаний Роллман ПАО ао",Роллман,RLMN,"МБ ФР: Т+ Акции и ДР",TQBR,100
"RLMNP [TQBR]","Группа Компаний Роллман ПАО ап",Роллман-п,RLMNP,"МБ ФР: Т+ Акции и ДР",TQBR,100
"ROSB [TQBR]","РОСБАНК ПАО ао","Росбанк ао",ROSB,"МБ ФР: Т+ Акции и ДР",TQBR,10
"ROSN [TQBR]","ПАО НК Роснефть",Роснефть,ROSN,"МБ ФР: Т+ Акции и ДР",TQBR,0
"RSTI [TQBR]",""Российские сети" ПАО ао","Россети ао",RSTI,"МБ ФР: Т+ Акции и ДР",TQBR,1
"RSTIP [TQBR]",""Российские сети" ПАО ап","Россети ап",RSTIP,"МБ ФР: Т+ Акции и ДР",TQBR,1
"RTKM [TQBR]","Ростелеком (ПАО) ао.","Ростел -ао",RTKM,"МБ ФР: Т+ Акции и ДР",TQBR,0
"RTKMP [TQBR]","Ростелеком (ПАО) ап.","Ростел -ап",RTKMP,"МБ ФР: Т+ Акции и ДР",TQBR,0
"AQUA [TQBR]","Русская Аквакультура ПАО ао","РусАква ао",AQUA,"МБ ФР: Т+ Акции и ДР",TQBR,100
