security_name,security_name_full,security_name_tiny,security_code
"RNZ9 [SPBFUT]",ROSN-12.19,RNZ9,RNZ9
"RRF0 [SPBFUT]",RUON-1.20,RRF0,RRF0
"RRG0 [SPBFUT]",RUON-2.20,RRG0,RRG0
"RRH0 [SPBFUT]",RUON-3.20,RRH0,RRH0
"RRJ0 [SPBFUT]",RUON-4.20,RRJ0,RRJ0
"RRK0 [SPBFUT]",RUON-5.20,RRK0,RRK0
"RRM0 [SPBFUT]",RUON-6.20,RRM0,RRM0
"RRN9 [SPBFUT]",RUON-7.19,RRN9,RRN9
"RRQ9 [SPBFUT]",RUON-8.19,RRQ9,RRQ9
"RRU9 [SPBFUT]",RUON-9.19,RRU9,RRU9
"RRV9 [SPBFUT]",RUON-10.19,RRV9,RRV9
"RRX9 [SPBFUT]",RUON-11.19,RRX9,RRX9
"RRZ9 [SPBFUT]",RUON-12.19,RRZ9,RRZ9
"RSU9 [SPBFUT]",RTSS-9.19,RSU9,RSU9
"RSZ9 [SPBFUT]",RTSS-12.19,RSZ9,RSZ9
"RTU9 [SPBFUT]",RTKM-9.19,RTU9,RTU9
"RTZ9 [SPBFUT]",RTKM-12.19,RTZ9,RTZ9
"SAH0 [SPBFUT]",SUGR-3.20,SAH0,SAH0
"SAV9 [SPBFUT]",SUGR-10.19,SAV9,SAV9
"SGU9 [SPBFUT]",SNGP-9.19,SGU9,SGU9
"SGZ9 [SPBFUT]",SNGP-12.19,SGZ9,SGZ9
"SMU9 [SPBFUT]",GSIE-9.19,SMU9,SMU9
"SNU9 [SPBFUT]",SNGR-9.19,SNU9,SNU9
"SNZ9 [SPBFUT]",SNGR-12.19,SNZ9,SNZ9
"SPU9 [SPBFUT]",SBPR-9.19,SPU9,SPU9
"SPZ9 [SPBFUT]",SBPR-12.19,SPZ9,SPZ9
"SRH0 [SPBFUT]",SBRF-3.20,SRH0,SRH0
"SRM0 [SPBFUT]",SBRF-6.20,SRM0,SRM0
"SRU9 [SPBFUT]",SBRF-9.19,SRU9,SRU9
"SRZ9 [SPBFUT]",SBRF-12.19,SRZ9,SRZ9
"SVH0 [SPBFUT]",SILV-3.20,SVH0,SVH0
"SVM0 [SPBFUT]",SILV-6.20,SVM0,SVM0
"SVU9 [SPBFUT]",SILV-9.19,SVU9,SVU9
"SVZ9 [SPBFUT]",SILV-12.19,SVZ9,SVZ9
"SiH0 [SPBFUT]",Si-3.20,SiH0,SiH0
"SiH1 [SPBFUT]",Si-3.21,SiH1,SiH1
"SiM0 [SPBFUT]",Si-6.20,SiM0,SiM0
"SiM1 [SPBFUT]",Si-6.21,SiM1,SiM1
"SiU0 [SPBFUT]",Si-9.20,SiU0,SiU0
"SiU9 [SPBFUT]",Si-9.19,SiU9,SiU9
"SiZ0 [SPBFUT]",Si-12.20,SiZ0,SiZ0
"SiZ9 [SPBFUT]",Si-12.19,SiZ9,SiZ9
"TNU9 [SPBFUT]",TRNF-9.19,TNU9,TNU9
"TNZ9 [SPBFUT]",TRNF-12.19,TNZ9,TNZ9
"TRU9 [SPBFUT]",UTRY-9.19,TRU9,TRU9
"TRZ9 [SPBFUT]",UTRY-12.19,TRZ9,TRZ9
"TTU9 [SPBFUT]",TATN-9.19,TTU9,TTU9
"TTZ9 [SPBFUT]",TATN-12.19,TTZ9,TTZ9
"USU9 [SPBFUT]",U500-9.19,USU9,USU9
"USZ9 [SPBFUT]",U500-12.19,USZ9,USZ9
"UUU9 [SPBFUT]",UUAH-9.19,UUU9,UUU9
"UUZ9 [SPBFUT]",UUAH-12.19,UUZ9,UUZ9
"VBH0 [SPBFUT]",VTBR-3.20,VBH0,VBH0
"VBU9 [SPBFUT]",VTBR-9.19,VBU9,VBU9
"VBZ9 [SPBFUT]",VTBR-12.19,VBZ9,VBZ9
"VIQ9 [SPBFUT]",RVI-8.19,VIQ9,VIQ9
"VIU9 [SPBFUT]",RVI-9.19,VIU9,VIU9
"VMU9 [SPBFUT]",GVW3-9.19,VMU9,VMU9
"ZnQ9 [SPBFUT]",Zn-8.19,ZnQ9,ZnQ9
"ZnU9 [SPBFUT]",Zn-9.19,ZnU9,ZnU9
"ZnV9 [SPBFUT]",Zn-10.19,ZnV9,ZnV9
