security_name,security_name_full,security_name_tiny,security_code
"NKSH [TQBR]","Нижнекамскшина ПАО ао",Нижкамшина,NKSH
"NVTK [TQBR]","ПАО "НОВАТЭК" ао","Новатэк ао",NVTK
"UWGN [TQBR]","ПАО НПК ОВК ао","ОВК ао",UWGN
"OGKB [TQBR]","ОГК-2 ПАО ао","ОГК-2 ао",OGKB
"UCSS [TQBR]","ПАО ОКС ао","ОКС ао",UCSS
"OMZZP [TQBR]","ап"Объединён.  маш. заводы"",ОМЗ-ап,OMZZP
"OBUV [TQBR]","ПАО "ОР" ао","ОР ао",OBUV
"KZOS [TQBR]","ПАО "Органический синтез" ао","ОргСинт ао",KZOS
"KZOSP [TQBR]","ПАО "Органический синтез" ап","ОргСинт ап",KZOSP
"PIKK [TQBR]","Группа компания ПИК ПАО ао","ПИК ао",PIKK
"PRTK [TQBR]","ПРОТЕК (ПАО) ао","ПРОТЕК ао",PRTK
"PAZA [TQBR]","Павловский автобус ПАО ао","ПавлАвт ао",PAZA
"PMSBP [TQBR]",""Пермэнергосбыт" ПАО ап",ПермьЭнС-п,PMSBP
"PMSB [TQBR]",""Пермэнергосбыт" ПАО ао",ПермьЭнСб,PMSB
"PLZL [TQBR]","Полюс ПАО ао",Полюс,PLZL
"PRMB [TQBR]","АКБ "Приморье" ао",Приморье,PRMB
"RBCM [TQBR]","РБК ПАО ао","РБК ао",RBCM
"RGSS [TQBR]","Росгосстрах СК ПАО ао","РГС СК ао",RGSS
"RDRB [TQBR]","РоссийскийДорож Банк ПАО ао","РДБанк ао",RDRB
"CHGZ [TQBR]","РН-Западная Сибирь ПАО ао",РН-ЗапСиб,CHGZ
"ROST [TQBR]","РОСИНТЕР РЕСТОРАНТС (ПАО)",РОСИНТЕРао,ROST
"RASP [TQBR]","ПАО Распадская ао",Распадская,RASP
"RLMN [TQBR]","Группа Компаний Роллман ПАО ао",Роллман,RLMN
"RLMNP [TQBR]","Группа Компаний Роллман ПАО ап",Роллман-п,RLMNP
"ROSB [TQBR]","РОСБАНК ПАО ао","Росбанк ао",ROSB
